tweet,sentiment,emotion,class
arumai,0,0,0
pani poori ku pirandha unaku thaai mozhiyoda arumai theriya vaaipilla ongi sevul le vitta amma nu kathuviya mummy nu illa maatha ji nu kathuviya ,1,1,1
arumai ,0,0,0
dmk ku vote potutomnu yarelam ipa feel panitu irukenga ipa teriyuthu daw eps uh unga arumai seirenganu ungala thappa pesi seira ivanugala kondu vandhu mudunju poch,1,1,1
appa irukura varaikum avarum enkita pesa mataru naanum pesa maten ipo appa ila yenguren irukura varaikum arumai theriyadhu evalo baaratha sumandhutu irundharu nu adha enoda thozh la vekurapo dha puriyudhu,0,1,0
arumai,0,0,0
arumai theriyala avingalauku ,0,1,0
arumai sister,0,0,0
location arumai ,0,0,0
arumai anna ,0,0,0
arumai thambi,0,0,0
arumai,0,0,0
super arumai sister ,0,0,0
trailer arumai ,0,0,0
arumai da ,0,0,0
arumai arumai nala vilakum ,0,0,0
arumai yana design akka nalla iruku akka ,0,0,0
arumai arumai ,0,0,0
alagana valimaiyana kundi oppatharku arumai,1,1,1
arumai yana pathivugal na ,0,0,0
arumai arumai nala pathil ,0,0,0
arumai yana vasakam ,0,0,0
arumai doli avana serupalaye adikkanum,0,1,0
ethu peru thaan pottu vangarthu arumai arumai ,0,0,0
nandri ,0,0,0
nandri bro ,0,0,0
nandri nanbare ,0,0,0
nandri annae,0,0,0
nandri anna ,0,0,0
thats pm modi apology keta vayala nandri nu solla vachar pathingla manick baba ,0,0,0
nandri ,0,0,0
veettukku kelambutn nandri,0,0,0
nandri thomas happening btw ,0,0,0
nandri bro ,0,0,0
nandri ka ,0,0,0
nandri arasi,0,0,0
template ku nandri ,0,0,0
nandri bro adhuku thaan hair vitutu iruken papomm ,0,0,0
nandri bro always inspiring from pavi pup ,0,0,0
nandri dr ,0,0,0
nandri mams ,0,0,0
nandri jd ,0,0,0
nandri ,0,0,0
ayyappan is youtube journalist to whom you givenfireyyy ipo exposed bb corrupted na edhuku ya unga vikraman ulla en vote panuna makkaluku nandri nu kathitu eruntharu modi kum oscar kum enna ya relationship puriala ,0,1,0
nandri anney ,0,0,0
nandri pa ,0,0,0
nandri dr ,0,0,0
nandri mams,0,0,0
nandri bro ,0,0,0
nandri vanakkam ,0,0,0
nandri mams ,0,0,0
nandri,0,0,0
nandri bro ,0,0,0
itha quote tweet panathuku nandri,0,0,0
nandri thomas when ,0,0,0
nandri theivame ,0,0,0
nandri anna,0,0,0
nandri kannan ,0,0,0
nandri thalaivare ,0,0,0
nandri anna,0,0,0
hai sir first congratulations to you and your team,0,0,0
nandri dr,0,0,0
loosu thayoli cini market epdi iruku nu paru da punda ,1,1,1
ada thevdia mavane loosu pund mathiri pesunathu nee naan yaaruku support panna unaku enna da punda soothu eriyuthu enna mayiruku naan potta post ku reply mayiru oombuna pundaya mooditu unnoda velaya paaru,1,1,1
avan oru aalu punda bullet oru poolu punda ne oru kena punda ,1,1,1
intha pundaiku than ni yellam laayaku varusa punda van paniyum naai adangala,1,1,1
ada makku punda tharukuri pundanu mani oru mura nirupikkura da na yenga ipl international soliruken kaatu da punda,1,1,1
punda damage yen sunniya peru senthu kadichutu irukinga porumaiya than vaila kuduka mudiyum porumaiya varusaila ni lunga,1,1,1
yethu ipl ranji trophy mariya ada cricket yennanu theriyuma da ipl na clup cricket da muttal punda ,1,1,1
dei lusu punda oruthan fraud panrana apuram yethuku avan kuda match aadura lusu pundaya ni,1,1,1
thevdiyapayale na suresh oda post la comments panen da makku koothi unna tag panala da punda ,1,1,1
dei mi fixing panuthuna complaint pani ban panra malumutti punda,1,1,1
muttal punda yaru yen comments vanthu aluthutu irukingapaaru da na adi vangurena kanavu pundaila valatha naaiye,1,1,1
dei makku punda cricket pathi onnum theiryatha thathiya irukiye da ,1,1,1
ni yen sunniya pudichu oombirukka da punda first poi nalla paaru da vanraj thevdiyapayale,1,1,1
ada makku punda typo error agurathukum na solra concept kum yenna da sambatham iruku lusu punda ,1,1,1
lusu punda trigger aagi olaratha da ,1,1,1
shumma iraa malumutti punda,1,1,1
years pan punda aaittu ambani mafia pathi pesuthu paaru naai ,1,1,1
oh my paruppu puli theviduya punda ,1,1,1
yes bro punda avlo soft ah iruku maami ku,1,1,1
othaa thayoli yaara nee physco kuthiya nee unkitta pesi time waste pannita punda ethvathu mananelli maruthuva manaila seridhu treatment paaru daa thambi illana un manakula iruku vandhu da pothu potta badu ,1,1,1
ippaium katharu da thevudiya punda ,1,1,1
look semmaya iruku da punda ,1,1,1
prakash kena punda,1,1,1
unga amma ku punda irukka ookka vara solren ,1,1,1
gay punda dei ,1,1,1
ne vangiko da punda ,1,1,1
appo nee punda thevdiya ,1,1,1
poda punda ,1,1,1
dai nee mudra punda ,1,1,1
paathutu pesu da potta punda,1,1,1
morattu rofl bro mass bro poda punda ,1,1,1
intha punda ithaan chance nu over ah panitu irukaan,1,1,1
ivaru periya punda oodra sunni ,1,1,1
kalusada punda dei ,1,1,1
adei theavangu punda ,1,1,1
diractor acting theriumha wig anna dance aatuva sir diractor punda acting theriumha nu ketta loosu kothi maari dance aatuvanu sollra mental punda ,1,1,1
athayea ne social media la than da sollura pea punda ,1,1,1
unga amma punda irukku da thayoli mavane ,1,1,1
ada kiruku punda,1,1,1
gommala snapchat ah ban panunga da pundaingala kasta pattu number vanguen daa gothaa punda snapchat video call pathutu cut panitu vanthuten da pundaa sunni thailee ,1,1,1
chi gay punda,1,1,1
varisu nadichey apa trla koothi padam nu collection vanta periya iva avana award adra punda first ,1,1,1
ivan uthama punda ilanu enakku apovey theriyum ivana valathu vittathu intha kuthiyanuga than ,1,1,1
punda punda ,1,1,1
good morning da punda ,1,1,1
ungomma va neeyeh vdo eduthruka andha gundu punda ne dhana ,1,1,1
ivanga oru aalu punda padathula win pana mudila pundaingala ,1,1,1
kena punda palvadi ,1,1,1
yoww ennaya moonji punda idhu ,1,1,1
national award vj kita iruka da bunda talent iruntha thanda national award tharuvanga lusu punda ,1,1,1
vaiyatha ulla ilutha six pack ada dummy punda,1,1,1
daii dummy punda ira award kum national award different theriyatha tharkuri atha vidu pa csk ethana award vangi irukan odaney vijay award nu sollitu vantharatha ,1,1,1
punda mane,1,1,1
poda sotta punda ,1,1,1
enda punda unaku la interview eduka enna thagudhi irukuda ,1,1,1
yenda elumban devdiya payalae unnakku vj anna competitor aagalanu nenaippu punda irukko oththa vj annavoda flop movie gt gt gt gt unga career best movie da pae pundaingala ,1,1,1
ava dance punda attitude koothy lam paatha ericha punda than varuthu ,1,1,1
loosu thayoli cini market epdi iruku nu paru da punda ,1,1,1
ada thevdia mavane loosu pund mathiri pesunathu nee naan yaaruku support panna unaku enna da punda soothu eriyuthu enna mayiruku naan potta post ku reply mayiru oombuna pundaya mooditu unnoda velaya paaru,1,1,1
avan oru aalu punda bullet oru poolu punda ne oru kena punda ,1,1,1
intha pundaiku than ni yellam laayaku varusa punda van paniyum naai adangala,1,1,1
ada makku punda tharukuri pundanu mani oru mura nirupikkura da na yenga ipl international soliruken kaatu da punda,1,1,1
punda damage yen sunniya peru senthu kadichutu irukinga porumaiya than vaila kuduka mudiyum porumaiya varusaila ni lunga,1,1,1
yethu ipl ranji trophy mariya ada cricket yennanu theriyuma da ipl na clup cricket da muttal punda ,1,1,1
dei lusu punda oruthan fraud panrana apuram yethuku avan kuda match aadura lusu pundaya ni,1,1,1
thevdiyapayale na suresh oda post la comments panen da makku koothi unna tag panala da punda ,1,1,1
dei mi fixing panuthuna complaint pani ban panra malumutti punda,1,1,1
muttal punda yaru yen comments vanthu aluthutu irukingapaaru da na adi vangurena kanavu pundaila valatha naaiye,1,1,1
dei makku punda cricket pathi onnum theiryatha thathiya irukiye da ,1,1,1
ni yen sunniya pudichu oombirukka da punda first poi nalla paaru da vanraj thevdiyapayale,1,1,1
ada makku punda typo error agurathukum na solra concept kum yenna da sambatham iruku lusu punda ,1,1,1
lusu punda trigger aagi olaratha da ,1,1,1
shumma iraa malumutti punda,1,1,1
years pan punda aaittu ambani mafia pathi pesuthu paaru naai ,1,1,1
oh my paruppu puli theviduya punda ,1,1,1
yes bro punda avlo soft ah iruku maami ku,1,1,1
othaa thayoli yaara nee physco kuthiya nee unkitta pesi time waste pannita punda ethvathu mananelli maruthuva manaila seridhu treatment paaru daa thambi illana un manakula iruku vandhu da pothu potta badu ,1,1,1
ippaium katharu da thevudiya punda ,1,1,1
look semmaya iruku da punda ,1,1,1
prakash kena punda,1,1,1
unga amma ku punda irukka ookka vara solren ,1,1,1
gay punda dei ,1,1,1
ne vangiko da punda ,1,1,1
appo nee punda thevdiya ,1,1,1
poda punda ,1,1,1
dai nee mudra punda ,1,1,1
paathutu pesu da potta punda,1,1,1
morattu rofl bro mass bro poda punda ,1,1,1
intha punda ithaan chance nu over ah panitu irukaan,1,1,1
ivaru periya punda oodra sunni ,1,1,1
kalusada punda dei ,1,1,1
adei theavangu punda ,1,1,1
diractor acting theriumha wig anna dance aatuva sir diractor punda acting theriumha nu ketta loosu kothi maari dance aatuvanu sollra mental punda ,1,1,1
athayea ne social media la than da sollura pea punda ,1,1,1
unga amma punda irukku da thayoli mavane ,1,1,1
ada kiruku punda,1,1,1
gommala snapchat ah ban panunga da pundaingala kasta pattu number vanguen daa gothaa punda snapchat video call pathutu cut panitu vanthuten da pundaa sunni thailee ,1,1,1
chi gay punda,1,1,1
varisu nadichey apa trla koothi padam nu collection vanta periya iva avana award adra punda first ,1,1,1
ivan uthama punda ilanu enakku apovey theriyum ivana valathu vittathu intha kuthiyanuga than ,1,1,1
punda punda ,1,1,1
good morning da punda ,1,1,1
ungomma va neeyeh vdo eduthruka andha gundu punda ne dhana ,1,1,1
ivanga oru aalu punda padathula win pana mudila pundaingala ,1,1,1
kena punda palvadi ,1,1,1
yoww ennaya moonji punda idhu ,1,1,1
national award vj kita iruka da bunda talent iruntha thanda national award tharuvanga lusu punda ,1,1,1
vaiyatha ulla ilutha six pack ada dummy punda,1,1,1
daii dummy punda ira award kum national award different theriyatha tharkuri atha vidu pa csk ethana award vangi irukan odaney vijay award nu sollitu vantharatha ,1,1,1
punda mane,1,1,1
poda sotta punda ,1,1,1
enda punda unaku la interview eduka enna thagudhi irukuda ,1,1,1
yenda elumban devdiya payalae unnakku vj anna competitor aagalanu nenaippu punda irukko oththa vj annavoda flop movie gt gt gt gt unga career best movie da pae pundaingala ,1,1,1
ava dance punda attitude koothy lam paatha ericha punda than varuthu ,1,1,1
nee yaaru da tharkuri punda avan kaeta kelviku samantham illama olaritu iruka ,1,1,1
indha sildra punda vera ,1,1,1
sotta than vilum vayasu aiyrum romance punda ye varathu enjoy na ennanu keppom love apdina enna nu keppom aga motham manushan mari iruka matom ,1,1,1
sotta punda,1,1,1
deiii punda panrathu thevidiyathanaam ethula vera soon nee sunniya umbathan ,1,1,1
dei mendal punda valarppu naai thayoli dhanush poola oombi polachittu pechu punda mattum nalla than ya irukku,1,1,1
poda kulla punda,1,1,1
fake id punda suma iraaa,1,1,1
ivru periya punda poda sunni,1,1,1
dai thayoli elumbaa fdfs filla panna vakku punda illa idhula poster pathi pechu pundalaam thevayaa daa unakku originald la vaada potta elumbaa ,1,1,1
ada lusu punda kasol isplace in himachal pradesh gaaji koothiyane ,1,1,1
gaaji punda dei ,1,1,1
mutta punda kanna nalla thorandhu paru enga aalu pannadhu ,1,1,1
antha padamum red gint than da kulla punda,1,1,1
kena punda,1,1,1
kena punda itha thukitu vara ivalo neram gomma punda,1,1,1
dai bommer punda poda,1,1,1
proof kaattraaa punda ,1,1,1
poda punda ,1,1,1
poda punda ,1,1,1
poda punda puli okk loss than beast loss ha yaara nee,1,1,1
gotha punda ,1,1,1
nkp flop nu solra mutta punda lam yaarnu paatha anil pundaga dha vera evanum flop nu solla matan ,1,1,1
fake froud punda,1,1,1
zee news ella news laium potanga indha thevdiya pasangaolu vitu suthranga adhum nambura mada punda thevdiya maganeh ,1,1,1
angutu poi oombu jhon kokkan tweet poi paaru ila sundar tweet ah poi paaruda pea punda therinaaiku porandha thevdiya maganeh ,1,1,1
dei mental punda rcb match continous lsing team da mayiru mumbai all matches win oru punda arivuyum ila csk women teamum ila ,1,1,1
owner ambani dhan da csk kita lam women teame ilaye adhan dhoni poi women ku support srini mama kita keklaya nu ketan da punda ,1,1,1
rendu peru mention pannan srini mama and dhoni adhan ketan yara sonnanu samadha punda ila ma pesu hari ,1,1,1
sunni mathiri dp punda,1,1,1
neengala kadha punda uda koodathu da sunni ,1,1,1
motivation lam irkatum first srini mama kita soli women team form panna solu da punda ,1,1,1
gomma punda,1,1,1
po da punda,1,1,1
ava enkita epavum pesa matta enaya parthale poda punda nu tha soluva neeye pesu da poi dm la ,1,1,1
mairu bala thevidiya payale amai thevidiya punda ,1,1,1
ama ivaru periya cid punda orama poda tharkuri nayaeee,1,1,1
neinka matum than hack pannuvenkala punda nankalum pannuvom next pushi anand number release aakum paakiriyaa ,1,1,1
revenge is revenge da punda canada thayooli ne matum than hack pannuviya nankalum pannuvom,1,1,1
poda froud punda,1,1,1
oombiye valranda thevidya magan komali punda,1,1,1
fitness vechu ena pana ipl la verum cup than adichurkan varushathula mada punda dhoni rohit varushathula cup,1,1,1
garbage movie ah adhu yenna et nu ninaichiya da punda ask ur kullan family member theatre he ll say whodoing garbage movies amp whothe king of box office ,1,1,1
nellai laam oru ooru punda neeyallam oru aaalu punda,1,1,1
neeyallam oompa than di laayaki kandroli oru match kooda adichi tharla moonji pundaya mattum soga pundaya vachikuva pee punda queen aam queen koothy queen kandroli ,1,1,1
indha punda update thara maran next year dhan pola ,1,1,1
dai otha neeya periya mafia punda otha ongala yennaki eppadi suuthu addika poorangalo appo erruku da onnaku ommala ,1,1,1
unoda pn padam dhanda thevdiya punda una mari aalunga naala dha fans kulla sanda varudhu otha dei vekama ilaya da sothu la uppu pota thingara ila pii ya thingaraya da bunda mavanea ,1,1,1
duckmaster liton das kangaladesi punda,1,1,1
fans kulla fight varthae unna maari punda naalatha,1,1,1
editing da punda,1,1,1
ennamo tamil la ajith than athiga filmfare vachuruka maari pechu punda filmfare vachu irunthum vijay kaal kila than irukan mr ajith vijay movie telugu celebration ithu maari video ajith ku onnu kaatu da aamai ,1,1,1
seri thunivu nalla padam illa vera edhu nalla padam sarkar bigil mersal master theri beast varisu idhelam nalla padam apdi dhana pee punda oru off beat film panradhuku dhill punda kedaiyadhu commercial masala illana vijay zero da accept the reality ,1,1,1
amah broh avan lusu punda ,1,1,1
uncle ne ena vida china paiyana dai kelatu punda summaa iruu daa,1,1,1
agent tina dha rolex vida talk of the town ah iruthuchu andha time la athuvu illama rolex character ah picha pottathu loki picha eduthathu surya edukurathu picha ithula egathala punda vera ,1,1,1
apa neium itha video va pathutu sirichutu tha irunthiya da piyyan kulla punda,1,1,1
mohan tnr bfc la plan ennava irukum ennava irukanum neenga enna ninaikuringa siva sakthi injury nala ,0,0,0
 vikraman fan nu proof lam thevaye padathu kamalii nama fandom ku kudukura respect how we treat our own fandom genuine ah irukanum adhuku proof theva ila,0,1,0
namma karuthu makkaluku nallatha irukanum madam ,0,1,0
muttu na ipdi irukanum hari nadar jeichalum paravala uma nallavan,0,0,0
transformation ah ipdi irukanum ,0,0,0
 niyathin pakkam epavum irukanum ,0,0,0
 thirudanuku thael kothuna mari pothitu irukanum nenga pesuna desha bakthi ah da nanga pesuna thapa da,0,1,0
 daii kiruku bunda goundamani senthil kuda sattaiya kaltti padathula vanthanga six pack illana muditu irukanu vjs broke panran adutha join pana kudathu namma kita illana sunni sathitu irukanum ,1,1,1
 rendu perum same time onlinela irukanum thambi,0,0,0
 irukanum nu asa patanga ana illa irunthalum promote panuvom nu panitu irukaga,0,1,0
 doctor saar avaru public ah cure for autism testing the autism medication nu poi solluradha padichitu vandhunippafi oru urutu uruturenga na neenga evolo peria aala irukanum doctoreh ,0,1,1
 athu taste ah irukanum illana mothama oothikum ,0,1,0
 ama negative shade character nu pottu irukanum,0,1,0
 sari sari kudichitu amaithiya irukanum sariya ,0,1,0
 story plot heavya irukanum ninaipom asaulta allow pannida kudadhu adhuku avan podra effort seducing balama irukanum ,0,1,0
 aang summa ne ivankoodatha irukanum ne iva koodatha irukanum nu yarune theriyadha rendu peruku munna pinna feeling onnu kodukama indha poi onna vaazhuganu urge kulla thalluradhu parents thana ippola neria peru veetla force panragakagatha mrg eh panraga,0,1,0
 innaikku naanum try pandren but athukku avan number ah car pinnadi pottu irukanum avanum car la irukanumee ,0,1,0
 umpu thevdiya paya sunni soothadi kuduthachu punda muditu irukanum vaai punda than ,1,1,1
 nov anna entry mass ah irukanum arrange pannidunga ,0,0,0
 dai rrr popular aanathula irunthu thodarnthu vayiru eriyura kootam namma kottam than atha vidu oscar vanguna apram athuku congrats sollanum illa moodikittu irukanum enga kitta award iruku nu sonna athuku peru enna vayithrichal thana atha sonna thappa ,0,1,0
ithukku than solrathu namma aaal oruthan ulla irukanum nu tq sirrrr ,0,0,0
 anthaa payam irukanum uupicis,1,1,1
 unna paatha paavam ah iruku di ipdi aayitiye kadaisila unnoda palaya tweets ella eduthu pathu padichu sirichutu iruka inimel moodikitu irukanum seriya ipodheku kelambura bye di darling enkita vechen ipdi dha irukum nelama ,1,1,1
 amith mathiri oru friend sindhu mathiri oru wife amp adithya mathiri oru friend ithellam kedaikanumna konjam kudigaranaa attitudeirukanum ,0,0,0
 thevidya payan ulla dha irukanum yaarum thappa padikadhinga what meant was education should be useful not to be wasted like this iyervaal ,1,0,1
 anna tharama irukanum industry alaranum anna ,0,0,0
 indian team nala ini oru icc cup um adikka mudiyathu adikka maattanunga apdi icc cup adikanum na pant captain ah irukanum ruturaj amp samson team la irukanum itha nadantha than cup adikka atleast chance iruku,0,1,0
 arr already tamilnadu oscar vaangi romba naal aachu really rrr deserved we proud that got oscar as indian we shud proud but if come to comparison for this one then arr already bagged oscar to tn so pocha muditu irukanum golts congratulations team ,1,1,1
namakkul irukkum valigal aayiram athai velikattamal epothum naam santhosama irukanum itha na unga kitta kathukitten nanbaney ,0,1,0
 sandhula update ah irukanum idaila kya matter water nu vandi era koodathu ,0,1,0
thala seevaradhu seevama varadhu avaroda thanipatta viruppam padathula andha look mass ah irukka should appreciate avlothan on screen laiyum off screen laiyum ore maari irukanum nu soldrathu lam,0,1,0
 enna aanalum jolly ah irukanum ,0,0,0
 niyathin pakkam irukanum,0,0,0
 chennai odi also nitin menon dhaan umpire ah irukanum you can see all your favourites alltime,0,0,0
 revenge na ipadi tha irukanum,0,0,0
 low bp varum salt crctaa irukanum athigamavum iruka kudathu kammi yavum iruka kudathu,0,0,0
 athu left curve athu onum right curve kidaiyathu kandipa antha car avalvu right side poi iruka kodathu poi irunthalum left eduka try pani irukanum unga car mathiri inside la camera iruntha antha driver enna panikitu irunthu iruparunu theriyum ,0,0,0
 pan india padam naale action fantasy apdi irukanum nu expect panranga athan problem,1,1,0
 tasmac and school evlo distance irukanummean orey street la tasmac and schools irukalam ma,0,1,0
 ma neee inimel unnoda daughter kaka nalla iru pathukkao ok va avalukku dream favorite pudicha madhiri job sports or everything accept panni congratulations panni vali anupu and innoru vishyam fake guys kitta irundhu unnoda ponnu ku eppidi strong uh irukanum,0,0,0
happy birthday machan treat kudukama poiduviya niii inimelachu kurumbu pannama irukanum ,0,0,0
 yess annan oru pakkam jai bhim oru community pathi padam edupan thambi inoru pakkam muthaiya kuda inoru community pathi padam pannuvan itha pathutu oorkula communal violence vanthum orthar inorthar aa adichitu saavanum aana ivanunga santhosam aa irukanum ,0,1,0
 editor oru avadhara purushan ah dhan irukanum ,0,1,0
 congratulations both kadasi vara ipadiya positive vibesoda rendu perum irukanum ,0,0,0
 ipdiyea irukanum oli agamaa irukanum kadavulea,0,1,0
 varusam bjp kaala pudichi aatchi senjappo intha veeram irunthu irukanum,0,1,0
antha bayam irukanum da sanghi ,1,1,0
 enga ponalum thirubi poga oru veedu venum athunala namaku puduchavaga irukanum ilana entha travel um nalla irukathu bro ,0,1,0
 semma profit aana next movie ku director illa neelam inniyaram seththu irukanum da deii aamai munda,1,1,1
pala naala expect panitu iruntha movie andam totally disappointed except sir matha ellame sothapal next padam sambavama than irukum irukanum namburom ,0,1,0
 neenga la kadaisi varaikum ipdi pesittu mattum tha irukanum first oru director ah olunga choose pana sollu antha avana,0,1,0
pundaila oka,1,1,1
 gentle man na married ah irukanum ah ,0,1,0
first time vijay preponed his movie release before diwali bcoz diwlai locked for antha bayam irukanum daa effect ,0,1,0
 kalutha pudichite ukkandhu irukanum station varaikum idhukagave neraya vati door kitte stading la varuve ,0,0,0
deep analysis super sir ,0,0,0
super ,0,0,0
otha ,1,1,1
ommala,1,1,1
super ponga,0,0,0
